asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion,feat_tiene_links,feat_errores_gramaticales,feat_todo_mayusculas,feat_solicita_info_personal,feat_cuerpo_len,feat_num_exclam,feat_upper_ratio,feat_num_words_body
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,1,1,1,1,SPAM,1,1,1,1,93,2,0.09722222222222222,13
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace legítimo]"";ham;pedidos@example.com;True;False;False;False;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por favor actualiza tu contraseña para mejorar la seguridad de tu cuenta. [enlace sospechoso]"";spam;seguridad@emailsinseguros.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu paquete está listo para ser recogido,Tu paquete ya está listo para ser recogido en la oficina de correos más cercana. [enlace legítimo],ham,notificaciones@correo.com,1,1,1,1,HAM,1,1,1,1,101,0,0.05063291139240506,17
"Gana un viaje a Hawaii;""Felicidades; ha ganado un viaje a Hawái para dos personas. Haga clic aquí para reclamar su premio: [enlace sospechoso]"";spam;premios@sorteosfantasticos.net;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Problemas con tu cuenta,Hemos detectado actividad inusual en tu cuenta. Por favor verifica tu información aquí: [enlace sospechoso],spam,seguridad@cuentasinseguras.com,0,0,0,0,SPAM,0,0,0,0,109,0,0.0449438202247191,15
"Mensaje importante de tu banco;""Estimado cliente; por favor verifica tu información bancaria aquí: [enlace sospechoso]"";spam;banco@correofalso.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu pedido #12345 ha sido enviado,Tu pedido #12345 ha sido enviado. Haz clic aquí para rastrearlo: [enlace legítimo],ham,pedidos@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,84,0,0.06666666666666667,13
¡¡GRAN OFERTA!!,¡Aprovecha nuestra gran oferta! ¡Compra ahora!,spam,ofertas@grandesofertas.net,0,0,0,0,SPAM,0,0,0,0,48,4,0.10256410256410256,6
"Re: Reunión mañana;""Hola Juan; recuerda nuestra reunión mañana a las 10:00 AM."";ham;ana@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
